link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
280,6,83,residential,736.2843587728788,20.0,1,1900,82.35119667567018,53035083,53119542,"LINESTRING (-122.2617835 37.89002989999999, -122.2616998 37.88986559999999, -122.2616084 37.88971309999998, -122.2615183 37.88959860000001, -122.2614475 37.889543, -122.26134 37.88948579999999, -122.2611923 37.88943459999999, -122.2611205 37.88940180000002, -122.2609641 37.8892772, -122.2608853 37.88922619999999, -122.2606626 37.8891629, -122.2605143 37.8891062, -122.2604207 37.88904649999998, -122.26038 37.88899020000001, -122.2603576 37.88882790000001, -122.2603092 37.88868779999999, -122.2602434 37.88852570000001, -122.2601543 37.88836789999999, -122.260089 37.88827889999999, -122.2600032 37.88822929999999, -122.2598954 37.88820739999998, -122.2597554 37.888209, -122.2596253 37.8882411, -122.2595034 37.88826980000001, -122.2593175 37.88827889999999, -122.2591727 37.88827199999999, -122.2586312 37.8882278, -122.2584845 37.88818769999999, -122.2583647 37.88813290000001, -122.2582029 37.8879948, -122.2581446 37.8878952, -122.2581237 37.88779640000001, -122.2581199 37.88766729999998, -122.2581694 37.88755109999999, -122.2583207 37.8872629, -122.2586225 37.8868189)"
281,146,32,residential,146.10233948963904,20.0,1,1900,16.341108364897657,53075819,53063917,"LINESTRING (-122.2705656 37.9030386, -122.2704783 37.90303670000001, -122.2704576 37.90303059999999, -122.2704154 37.90300159999999, -122.270367 37.90293960000002, -122.270258 37.9026916, -122.2702109 37.90263190000001, -122.2701573 37.90259719999998, -122.2700975 37.90257589999999, -122.2700268 37.9025702, -122.2699607 37.9025765, -122.269606 37.90262690000001)"
282,144,50,residential,321.0602109989756,20.0,1,1900,35.90962141960242,53020507,53100957,"LINESTRING (-122.2728168 37.9030289, -122.2728531 37.90294889999998, -122.2728392 37.90285779999998, -122.2728115 37.90279819999999, -122.2727794 37.90275099999998, -122.2726925 37.90265930000001, -122.2723458 37.9023743, -122.2719867 37.9020308, -122.2713093 37.90124410000001, -122.27123 37.90120089999999)"
283,203,143,residential,414.865211671941,20.0,1,1900,46.40142932987158,53133624_m,53123929,"LINESTRING (-122.2518037443824 37.88340744843142, -122.2515511 37.88362289999998, -122.2514762 37.88371709999999, -122.2514399 37.88379580000001, -122.2514268 37.88386299999998, -122.2513867 37.88393549999998, -122.251252 37.8840446, -122.2512132 37.88412590000001, -122.2511884 37.88422649999998, -122.2512068 37.88433179999998, -122.2512596 37.88441369999998, -122.2513955 37.88452749999998, -122.2515225 37.88458879999998, -122.2518336 37.88474489999999, -122.2520289 37.88492749999998, -122.2520969 37.88502309999999, -122.2521353 37.8851234, -122.2521513 37.88522309999999, -122.2521149 37.8855152, -122.252132 37.8855908, -122.2522157 37.88565940000001, -122.2523108 37.88567659999999, -122.2524391 37.88565029999999)"
284,143,69,residential,307.2456157549376,20.0,1,1900,34.36450038534251,53123929,53060111,"LINESTRING (-122.2524391 37.88565029999999, -122.2525178 37.88558929999998, -122.2527014 37.88541259999999, -122.2528197 37.88535699999999, -122.2529777 37.88536589999998, -122.253087 37.88541570000001, -122.2531407 37.88548969999999, -122.2531576 37.88558230000002, -122.2531461 37.8857036, -122.2531746 37.8857762, -122.2532733 37.88584829999999, -122.2533232 37.88587600000001, -122.2536035 37.8860021, -122.2536992 37.88604399999998, -122.253788 37.88611939999998, -122.2538591 37.88622039999999, -122.2538788 37.88634139999997, -122.2538807 37.88648930000002, -122.2538588 37.8866577)"
285,156,37,residential,243.36382910008174,20.0,1,1900,27.219514193356847,53075863,53098775,"LINESTRING (-122.2692069 37.89536240000001, -122.2692893 37.8953258, -122.2694002 37.89529399999999, -122.2695542 37.89528949999999, -122.2696444 37.8953046, -122.2697193 37.89533939999998, -122.269782 37.8953884, -122.2698302 37.8954511, -122.2698612 37.8955286, -122.2699221 37.89585509999999, -122.2699738 37.89595969999999, -122.2700701 37.89605749999999, -122.270189 37.89611609999999, -122.2703705 37.89616379999998, -122.2705389 37.89617309999998, -122.2706774 37.8961723)"
286,6,184,residential,277.28432077326266,20.0,1,1900,31.01341942552711,53035083,53063945_m,"LINESTRING (-122.2617835 37.89002989999999, -122.2618378 37.89013219999999, -122.2619188 37.89034059999999, -122.2620011 37.89056159999998, -122.262068 37.89066139999998, -122.2621431 37.8907356, -122.2622793 37.89082119999999, -122.2624427 37.89086389999999, -122.2625881 37.89086469999999, -122.2627117 37.89082960000002, -122.2628213 37.8907796, -122.2635708507764 37.89064304784797)"
287,163,28,residential,269.0469401797184,20.0,1,1900,30.092093118280964,53112762,53084389,"LINESTRING (-122.2743423 37.88834309999999, -122.2745027 37.88826359999999, -122.2746572 37.88817070000001, -122.2759742 37.88711350000001, -122.2761093 37.88705399999999)"
288,144,27,residential,149.89724682857133,20.0,1,1900,16.765557366035218,53020507,53075161,"LINESTRING (-122.2728168 37.9030289, -122.2731564 37.9030455, -122.2737659 37.90308989999998, -122.2738931 37.90308339999999, -122.2739843 37.90306200000001, -122.2741416 37.9030079)"
289,232,142,residential,226.38956590147427,20.0,1,1900,25.320993777382192,53038916_m,2536801113,"LINESTRING (-122.250856209191 37.89197182502674, -122.2504454 37.8918874, -122.2502052 37.89184159999999, -122.249981 37.89179439999999, -122.2497759 37.8917166, -122.2496262 37.89161959999998, -122.2495235 37.8915401, -122.2493905 37.8914028, -122.2493189 37.89132559999999, -122.2492804 37.89124769999998, -122.2492622 37.89115509999999)"
