link_id,start_node_id,end_node_id,type,length,maxmph,lanes,capacity,fft,start_osmid,end_osmid,geometry
743,260,277,residential,202.643,20.0,1,1900,22.665011621,53138903,53091869,"LINESTRING (-122.2680059 37.8785568,-122.2680047 37.8784778,-122.267844 37.8770766,-122.2678056 37.8767415)"
744,260,259,residential,202.281,20.0,1,1900,22.624523007000004,53138903,53138900,"LINESTRING (-122.2680059 37.8785568,-122.2680069 37.878622,-122.26816 37.8799715,-122.2681958 37.8803012,-122.2682032 37.8803691)"
745,260,77,tertiary,100.749,25.0,2,3800,9.0147787224,53138903,53115329,"LINESTRING (-122.2680059 37.8785568,-122.2669553 37.8786993,-122.2668745 37.8787099)"
746,260,329,tertiary,93.138,25.0,2,3800,8.333764708800002,53138903,53096090,"LINESTRING (-122.2680059 37.8785568,-122.2680942 37.8785454,-122.2685939 37.8784811,-122.2687598 37.8784601,-122.2689685 37.8784367,-122.2690543 37.8784275)"
747,261,34,residential,142.334,20.0,1,1900,15.919630898000001,258895327,53055700,"LINESTRING (-122.2532056 37.8839066,-122.2532571 37.8838119,-122.2532999 37.8836602,-122.2533121 37.8835415,-122.2533121 37.8833996,-122.2533182 37.8832365,-122.253371 37.8829249,-122.2534124 37.8828242,-122.2534689 37.8827452,-122.2535587 37.8826957)"
748,261,386,residential,327.545,20.0,1,1900,36.634925615,258895327,53094210,"LINESTRING (-122.2532056 37.8839066,-122.2532364 37.8839654,-122.2532288 37.8840245,-122.2531927 37.8840635,-122.2531389 37.8840775,-122.2528303 37.8840687,-122.2526981 37.8840822,-122.2526079 37.8841184,-122.2525183 37.8841836,-122.2524836 37.8842483,-122.2524822 37.8843292,-122.2525279 37.8843909,-122.252648 37.8844498,-122.2528706 37.8845937,-122.2529748 37.8846815,-122.2531362 37.8848538,-122.2532913 37.8849465,-122.2534703 37.884996,-122.2537339 37.8850125,-122.2538538 37.8850333,-122.254035 37.8851183,-122.2541154 37.8851743,-122.2543316 37.8854342,-122.2543972 37.8855149,-122.254404 37.8855232,-122.2544269 37.8855499)"
749,261,258,residential,158.061,20.0,1,1900,17.678648667,258895327,258895312,"LINESTRING (-122.2532056 37.8839066,-122.2531478 37.8838575,-122.2530752 37.8837847,-122.2530522 37.8837615,-122.2528889 37.8835758,-122.2527422 37.8832397,-122.2527216 37.8831139,-122.2527365 37.8829804,-122.2527327 37.8829268,-122.2527062 37.8828653,-122.2525031 37.8826464)"
750,262,93,residential,155.515,20.0,1,1900,17.393886205,53054947,53033493,"LINESTRING (-122.2623811 37.8936101,-122.2622739 37.8937398,-122.2622036 37.8937946,-122.2621109 37.8938384,-122.2618564 37.8939091,-122.2617888 37.8939229,-122.2616911 37.8939293,-122.2615147 37.8939209,-122.2614343 37.8939223,-122.2613505 37.8939434,-122.2612853 37.8939721,-122.2612054 37.8940226,-122.2611292 37.8940603,-122.2608337 37.894156)"
751,262,95,residential,265.505,20.0,1,1900,29.695937735,53054947,53033497,"LINESTRING (-122.2623811 37.8936101,-122.2622815 37.8935675,-122.2621724 37.8935485,-122.2620288 37.8935421,-122.2617997 37.8935473,-122.2616748 37.8935399,-122.261573 37.8935185,-122.2614998 37.8934898,-122.2614197 37.8934446,-122.2613453 37.8933794,-122.2613017 37.8933258,-122.2611991 37.8931716,-122.2611702 37.8931016,-122.2611453 37.8929835,-122.2611599 37.8928664,-122.261203 37.8927392,-122.2612253 37.8926515,-122.2612166 37.8925705,-122.2611498 37.892487,-122.2610749 37.8924482,-122.260979 37.8924385,-122.2608604 37.8924548,-122.260525 37.8926197)"
752,262,10,residential,49.901,20.0,1,1900,5.581277147000001,53054947,53057625,"LINESTRING (-122.2623811 37.8936101,-122.262484 37.8936802,-122.2625363 37.8937424,-122.2625644 37.8937978,-122.2625807 37.8938599,-122.2626004 37.8939047,-122.2626699 37.8939839)"
753,263,128,residential,380.335,20.0,1,1900,42.539328745,269301221,53021355,"LINESTRING (-122.2560989 37.8842346,-122.2566217 37.8840733,-122.2567331 37.8840243,-122.2568142 37.8839793,-122.2570549 37.8837338,-122.2571588 37.8836799,-122.2572746 37.8836541,-122.2574987 37.8836097,-122.2576404 37.8835818,-122.257789 37.8835415,-122.2579134 37.8834826,-122.2580273 37.8834079,-122.2581403 37.8832995,-122.258239 37.8831622,-122.2582846 37.8830199,-122.2583103 37.8828881,-122.2583117 37.8827774,-122.2582951 37.8826343,-122.2582574 37.8824995,-122.2581685 37.8823082,-122.2581089 37.882137,-122.258061 37.8820432,-122.2580522 37.8819744,-122.2580857 37.8818578)"
754,263,127,residential,37.28,20.0,1,1900,4.169656160000001,269301221,53021348,"LINESTRING (-122.2560989 37.8842346,-122.2558253 37.8843313,-122.2557051 37.8843584)"
755,264,266,residential,329.84,20.0,1,1900,36.891614479999994,53054953,53054961,"LINESTRING (-122.2584278 37.8927153,-122.2582195 37.8925696,-122.2581072 37.8924715,-122.2579894 37.8923058,-122.25782 37.8920152,-122.2577584 37.8919448,-122.2576803 37.891907,-122.2575964 37.8919107,-122.2571067 37.8920709,-122.2570033 37.8920944,-122.2569538 37.8920938,-122.2568778 37.8920793,-122.2567583 37.8920298,-122.2566455 37.8919499,-122.2561649 37.8914967,-122.256085 37.8913998,-122.2559882 37.8912529,-122.2559453 37.891131,-122.2559195 37.8910836)"
756,264,93,residential,297.001,20.0,1,1900,33.218670847,53054953,53033493,"LINESTRING (-122.2584278 37.8927153,-122.2586048 37.8927721,-122.2588758 37.8928376,-122.2591255 37.8929186,-122.2592403 37.8929779,-122.2593333 37.8930589,-122.2594206 37.8932069,-122.2594583 37.8933399,-122.259483 37.8933965,-122.2595484 37.8934729,-122.2596852 37.8935538,-122.2598035 37.8936388,-122.2598916 37.8937236,-122.259955 37.893816,-122.2599898 37.8938918,-122.2600201 37.8939766,-122.2600586 37.8940523,-122.2601036 37.8941097,-122.2601688 37.8941599,-122.2602617 37.8942031,-122.2603733 37.8942272,-122.2604904 37.8942237,-122.2606467 37.8942024,-122.2608337 37.894156)"
757,264,303,residential,150.879,20.0,1,1900,16.875363513,53054953,53030518,"LINESTRING (-122.2584278 37.8927153,-122.258429 37.8928248,-122.2585064 37.8930364,-122.2585151 37.8931315,-122.2584744 37.8932723,-122.2582569 37.8936773,-122.2582154 37.8937556,-122.258195 37.8938523,-122.258153 37.8939277,-122.2581026 37.8939997)"
758,265,30,residential,23.026,20.0,1,1900,2.575389022,53091823,239511746,"LINESTRING (-122.2642848 37.8773772,-122.2643075 37.8775835)"
759,265,315,residential,139.893,20.0,1,1900,15.646612371000002,53091823,53059199,"LINESTRING (-122.2642848 37.8773772,-122.2641258 37.8773646,-122.2640256 37.8773566,-122.2627103 37.8775293)"
760,265,24,residential,312.681,20.0,1,1900,34.972431807,53091823,2327822491,"LINESTRING (-122.2642848 37.8773772,-122.264241 37.8769546,-122.2642536 37.8768979,-122.2642534 37.8768336,-122.2642126 37.8765044,-122.2641193 37.8757751,-122.2641064 37.8757382,-122.2641016 37.8756976,-122.2640827 37.8755361,-122.263982 37.8746786,-122.2639724 37.8746641,-122.263949 37.8746289,-122.2639232 37.8745901)"
761,266,152,residential,114.736,20.0,1,1900,12.832877392000002,53054961,53025638,"LINESTRING (-122.2559195 37.8910836,-122.2556286 37.8908989,-122.2552963 37.8906431,-122.2551309 37.8905501,-122.254901 37.8904432)"
762,266,264,residential,329.84,20.0,1,1900,36.891614479999994,53054961,53054953,"LINESTRING (-122.2559195 37.8910836,-122.2559453 37.891131,-122.2559882 37.8912529,-122.256085 37.8913998,-122.2561649 37.8914967,-122.2566455 37.8919499,-122.2567583 37.8920298,-122.2568778 37.8920793,-122.2569538 37.8920938,-122.2570033 37.8920944,-122.2571067 37.8920709,-122.2575964 37.8919107,-122.2576803 37.891907,-122.2577584 37.8919448,-122.25782 37.8920152,-122.2579894 37.8923058,-122.2581072 37.8924715,-122.2582195 37.8925696,-122.2584278 37.8927153)"
763,266,219,residential,163.282,20.0,1,1900,18.262601854000003,53054961,53130350,"LINESTRING (-122.2559195 37.8910836,-122.2559882 37.8910294,-122.2560397 37.8909346,-122.2560397 37.8908601,-122.2560375 37.8908516,-122.2560139 37.8907585,-122.2558694 37.8905169,-122.2558671 37.8904631,-122.2559237 37.8904035,-122.2560723 37.8903412,-122.2562058 37.8902896,-122.2563931 37.8901907,-122.2564669 37.8901244,-122.2565126 37.8900724,-122.2565712 37.889945)"
764,267,69,tertiary,94.552,25.0,2,3800,8.460286035200001,53091826,53107080,"LINESTRING (-122.2607118 37.8777912,-122.2606982 37.8777281,-122.2606599 37.8775509,-122.260656 37.877533,-122.2605439 37.877015,-122.2605305 37.876953)"
765,267,233,tertiary,94.223,25.0,2,3800,8.4308479048,53091826,53062886,"LINESTRING (-122.2607118 37.8777912,-122.2607263 37.8778603,-122.2608711 37.8785507,-122.2608749 37.8785688,-122.2608871 37.8786272)"
766,267,315,residential,177.808,20.0,1,1900,19.887291376,53091826,53059199,"LINESTRING (-122.2607118 37.8777912,-122.2607924 37.8777806,-122.2615164 37.8776857,-122.2627103 37.8775293)"
